%time,field.header.seq,field.header.stamp,field.header.frame_id,field.latitude,field.longitude,field.altitude,field.utm_easting,field.utm_northing,field.zone,field.letter
1698242653802949200,162,1698242653802265167,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242654802442221,163,1698242654801891326,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242655802542741,164,1698242655801814079,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242656802244647,165,1698242656801673650,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242657801712569,166,1698242657801139593,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242658802236195,167,1698242658801523208,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242659802357143,168,1698242659801727533,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242660802276791,169,1698242660801834344,GPS1_Frame,42.33721923828125,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242661802713363,170,1698242661801997423,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242662802244589,171,1698242662801574468,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242663802856214,172,1698242663802076101,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242664803715673,173,1698242664803448438,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242665803416120,174,1698242665802474737,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242666801957601,175,1698242666801521062,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242667802599392,176,1698242667801970958,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242668802126912,177,1698242668801850557,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242669802609923,178,1698242669802054882,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242670803043443,179,1698242670802515745,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242671802029077,180,1698242671801416158,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242672801651763,181,1698242672801295042,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242673802165280,182,1698242673801555633,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242674801171047,183,1698242674800782918,GPS1_Frame,42.337215423583984,-71.08975982666016,15.399999618530273,327844.34375,4689333.0,19,T
1698242675802604403,184,1698242675802203893,GPS1_Frame,42.33721923828125,-71.08975982666016,15.300000190734863,327844.46875,4689333.0,19,T
1698242676804291581,185,1698242676803917169,GPS1_Frame,42.33721923828125,-71.08975219726562,15.199999809265137,327844.625,4689333.0,19,T
1698242677801937408,186,1698242677801398992,GPS1_Frame,42.33721923828125,-71.08975219726562,15.199999809265137,327844.875,4689333.0,19,T
1698242678801641624,187,1698242678801100730,GPS1_Frame,42.33721923828125,-71.08975219726562,15.100000381469727,327844.75,4689333.0,19,T
1698242679801341777,188,1698242679800951957,GPS1_Frame,42.33721923828125,-71.08975219726562,15.100000381469727,327844.75,4689333.0,19,T
1698242680803077466,189,1698242680802206993,GPS1_Frame,42.337215423583984,-71.08975219726562,15.0,327844.59375,4689333.0,19,T
1698242681802744133,190,1698242681802166461,GPS1_Frame,42.33720397949219,-71.08975982666016,15.100000381469727,327844.15625,4689332.0,19,T
1698242682802736018,191,1698242682802124261,GPS1_Frame,42.337188720703125,-71.08976745605469,15.0,327843.71875,4689330.0,19,T
1698242683802495809,192,1698242683801769733,GPS1_Frame,42.337162017822266,-71.08977508544922,15.0,327842.8125,4689327.0,19,T
1698242684803265871,193,1698242684802655458,GPS1_Frame,42.33713150024414,-71.08978271484375,15.0,327842.03125,4689323.5,19,T
1698242685802937657,194,1698242685802279233,GPS1_Frame,42.33709716796875,-71.08979034423828,15.0,327841.53125,4689320.0,19,T
1698242686802121229,195,1698242686801568031,GPS1_Frame,42.337066650390625,-71.08978271484375,14.800000190734863,327842.15625,4689316.5,19,T
1698242687802993688,196,1698242687802251100,GPS1_Frame,42.3370361328125,-71.08975982666016,14.699999809265137,327843.6875,4689313.0,19,T
1698242688802720490,197,1698242688802328824,GPS1_Frame,42.337013244628906,-71.0897216796875,14.600000381469727,327846.53125,4689310.0,19,T
1698242689802600452,198,1698242689801923990,GPS1_Frame,42.336997985839844,-71.08968353271484,14.399999618530273,327850.1875,4689308.5,19,T
1698242690801834298,199,1698242690801297426,GPS1_Frame,42.33699417114258,-71.08963012695312,14.399999618530273,327854.3125,4689308.0,19,T
1698242691802450681,200,1698242691801795005,GPS1_Frame,42.337005615234375,-71.0895767211914,14.399999618530273,327858.4375,4689309.0,19,T
1698242692801792138,201,1698242692801248788,GPS1_Frame,42.33702850341797,-71.08953857421875,14.300000190734863,327861.6875,4689312.0,19,T
1698242693801597938,202,1698242693801238298,GPS1_Frame,42.33706283569336,-71.08951568603516,14.199999809265137,327863.6875,4689315.5,19,T
1698242694802485446,203,1698242694802022457,GPS1_Frame,42.33709716796875,-71.08950805664062,14.199999809265137,327864.46875,4689319.5,19,T
1698242695803060837,204,1698242695802084445,GPS1_Frame,42.337135314941406,-71.08950805664062,14.100000381469727,327864.4375,4689323.5,19,T
1698242696803743462,205,1698242696803078413,GPS1_Frame,42.33717727661133,-71.08952331542969,14.100000381469727,327863.71875,4689328.0,19,T
